ward_id,ward_name,date,tmax_adj_c,rh_mean_pct,wbgt_peak_c,hi_peak_c,hazard_score,risk_score,uhi_delta_c,vulnerability,population,risk_band,risk_colour,exposed_population,relative_risk,excess_deaths_per_day,run_at
24,Ward 24,2026-09-03,33.87,73.01,31.23,44.25,45.1,41.1,3.47,80.5,19824,Caution,Yellow,8148.0,1.11,0.04,2026-09-04T18:06:16
77,Ward 77,2026-09-03,33.8,72.72,31.36,44.31,46.4,40.6,3.4,72.2,45984,Caution,Yellow,18670.0,1.12,0.1,2026-09-04T18:06:16
23,Ward 23,2026-09-03,33.9,72.88,31.24,44.25,45.2,40.5,3.5,77.0,18256,Caution,Yellow,7394.0,1.11,0.04,2026-09-04T18:06:16
39,Ward 39,2026-09-03,33.64,73.98,31.11,43.9,43.9,39.5,3.24,77.7,21296,Caution,Yellow,8412.0,1.11,0.05,2026-09-04T18:06:16
62,Ward 62,2026-09-03,33.7,73.12,31.31,44.17,45.9,39.4,3.3,68.4,34832,Caution,Yellow,13724.0,1.11,0.08,2026-09-04T18:06:16
18,Ward 18,2026-09-03,33.83,73.18,31.21,44.17,44.9,39.1,3.43,71.1,22267,Caution,Yellow,8706.0,1.11,0.05,2026-09-04T18:06:16
54,Ward 54,2026-09-03,33.59,73.08,31.15,44.37,44.3,38.8,3.39,72.5,36235,Caution,Yellow,14059.0,1.11,0.08,2026-09-04T18:06:16
48,Ward 48,2026-09-03,33.72,73.63,31.15,44.01,44.3,38.5,3.32,70.7,20437,Caution,Yellow,7868.0,1.11,0.04,2026-09-04T18:06:16
78,Ward 78,2026-09-03,33.58,73.64,31.25,43.98,45.3,38.5,3.18,66.7,54090,Caution,Yellow,20825.0,1.11,0.12,2026-09-04T18:06:16
42,Ward 42,2026-09-03,33.46,74.74,31.03,43.65,43.1,38.2,3.06,74.9,21746,Caution,Yellow,8307.0,1.11,0.05,2026-09-04T18:06:16
43,Ward 43,2026-09-03,33.57,74.27,31.08,43.81,43.6,38.1,3.17,71.9,17677,Caution,Yellow,6735.0,1.11,0.04,2026-09-04T18:06:16
135,Ward 135,2026-09-03,33.08,75.76,31.0,43.25,42.8,37.4,2.68,71.9,33258,Caution,Yellow,12438.0,1.1,0.07,2026-09-04T18:06:16
19,Ward 19,2026-09-03,33.71,73.67,31.14,43.98,44.2,37.1,3.31,64.3,21158,Caution,Yellow,7850.0,1.11,0.05,2026-09-04T18:06:16
52,Ward 52,2026-09-03,33.47,74.09,31.19,43.81,44.7,37.1,3.07,62.4,16869,Caution,Yellow,6258.0,1.11,0.04,2026-09-04T18:06:16
41,Ward 41,2026-09-03,33.46,74.74,31.03,43.65,43.1,37.0,3.06,68.6,19946,Caution,Yellow,7380.0,1.11,0.04,2026-09-04T18:06:16
53,Ward 53,2026-09-03,33.49,74.01,31.21,43.88,44.9,36.8,3.09,59.7,25598,Caution,Yellow,9420.0,1.11,0.06,2026-09-04T18:06:16
26,Ward 26,2026-09-03,33.48,74.65,31.03,43.67,43.1,36.5,3.08,65.9,25371,Caution,Yellow,9260.0,1.11,0.05,2026-09-04T18:06:16
134,Ward 134,2026-09-03,32.85,76.77,30.89,42.91,41.7,36.5,2.45,72.2,35780,Caution,Yellow,13060.0,1.1,0.07,2026-09-04T18:06:16
25,Ward 25,2026-09-03,33.53,74.43,31.06,43.74,43.4,36.3,3.13,63.8,27484,Caution,Yellow,9977.0,1.11,0.06,2026-09-04T18:06:16
49,Ward 49,2026-09-03,33.22,74.32,30.65,43.47,39.3,36.2,3.22,82.7,19416,Caution,Yellow,7029.0,1.1,0.04,2026-09-04T18:06:16
21,Ward 21,2026-09-03,33.36,75.17,30.98,43.52,42.6,36.0,2.96,65.8,21187,Caution,Yellow,7627.0,1.1,0.04,2026-09-04T18:06:16
