ward_id,households,pop_male,pop_female,pop_under6,pop_sc,pop_st,pop_literate,pop_illiterate,workers_total,workers_main,workers_marginal,workers_other,non_workers,illiteracy_pct,hh_size,worker_pct,under6_pct,scst_pct,nonworker_pct
1,11394,27945,25180,4033,1968,117,42277,10848,20240,17775,2465,17137,32885,20.42,4.66,38.1,7.59,3.92,61.9
2,11305,24381,23809,2575,1814,105,42986,5204,17851,15006,2845,14412,30339,10.8,4.26,37.04,5.34,3.98,62.96
3,11617,27636,26219,4358,1385,171,42933,10922,19987,16723,3264,16002,33868,20.28,4.64,37.11,8.09,2.89,62.89
4,8558,17403,17073,2144,2713,79,28864,5612,13737,11800,1937,11383,20739,16.28,4.03,39.85,6.22,8.1,60.15
5,5815,12243,11464,1585,745,60,19980,3727,8499,7551,948,7209,15208,15.72,4.08,35.85,6.69,3.4,64.15
6,8855,22977,19369,3962,2798,295,31137,11209,15341,13239,2102,12736,27005,26.47,4.78,36.23,9.36,7.3,63.77
7,4240,9942,9238,961,335,10,15969,3211,8044,7193,851,6952,11136,16.74,4.52,41.94,5.01,1.8,58.06
8,4285,9498,9262,1009,453,3,16609,2151,7145,6675,470,6519,11615,11.47,4.38,38.09,5.38,2.43,61.91
9,3834,8573,7847,1033,256,1,14094,2326,6899,6346,553,6166,9521,14.17,4.28,42.02,6.29,1.57,57.98
10,5139,14513,13187,1160,250,12,24518,3182,11784,10752,1032,10506,15916,11.49,5.39,42.54,4.19,0.95,57.46
11,4715,12086,10066,1187,1130,32,18440,3712,9282,8353,929,8082,12870,16.76,4.7,41.9,5.36,5.25,58.1
12,4864,11884,9609,1455,539,26,17023,4470,9486,8495,991,8336,12007,20.8,4.42,44.14,6.77,2.63,55.86
13,7292,17633,15433,2589,645,34,25414,7652,14344,13150,1194,12677,18722,23.14,4.53,43.38,7.83,2.05,56.62
14,12387,27064,26279,4076,547,21,43290,10053,22096,19003,3093,17985,31247,18.85,4.31,41.42,7.64,1.06,58.58
15,5397,12641,11281,1633,1384,27,19812,4110,9947,9210,737,8747,13975,17.18,4.43,41.58,6.83,5.9,58.42
16,4230,10767,10137,1164,165,21,17493,3411,8871,7957,914,7799,12033,16.32,4.94,42.44,5.57,0.89,57.56
17,4895,10824,10199,1160,446,11,18333,2690,8340,7685,655,7556,12683,12.8,4.29,39.67,5.52,2.17,60.33
18,5525,10738,11529,1336,495,17,16477,5790,7746,7180,566,7025,14521,26.0,4.03,34.79,6.0,2.3,65.21
19,4593,11467,9691,1363,171,1,17675,3483,9126,8530,596,8349,12032,16.46,4.61,43.13,6.44,0.81,56.87
20,4310,12180,9396,1629,981,2,17140,4436,9031,8512,519,8095,12545,20.56,5.01,41.86,7.55,4.56,58.14
21,4304,13127,8060,1295,611,36,16016,5171,10355,9725,630,9569,10832,24.41,4.92,48.87,6.11,3.05,51.13
22,2884,9847,5883,734,284,1,12757,2973,7308,6972,336,6881,8422,18.9,5.45,46.46,4.67,1.81,53.54
23,3338,10901,7355,1032,162,4,13459,4797,7319,6435,884,5935,10937,26.28,5.47,40.09,5.65,0.91,59.91
24,3842,12264,7560,1073,308,24,13719,6105,8972,7955,1017,7771,10852,30.8,5.16,45.26,5.41,1.67,54.74
