ward_id,ward_name,date,tmax_adj_c,rh_mean_pct,wbgt_peak_c,hi_peak_c,hazard_score,risk_score,uhi_delta_c,vulnerability,population,risk_band,risk_colour,exposed_population,relative_risk,excess_deaths_per_day
24,Ward 24,2026-08-01,34.87,71.15,32.16,45.29,54.8,50.0,3.47,80.5,19824,Danger,Orange,9912.0,1.14,0.05
23,Ward 23,2026-08-01,34.9,71.04,32.18,45.33,55.0,49.3,3.5,77.0,18256,Caution,Yellow,9000.0,1.14,0.05
49,Ward 49,2026-08-01,34.52,71.62,31.93,44.47,52.4,48.3,3.22,82.7,19416,Caution,Yellow,9378.0,1.13,0.05
39,Ward 39,2026-08-01,34.64,72.09,32.05,44.98,53.6,48.2,3.24,77.7,21296,Caution,Yellow,10265.0,1.14,0.06
29,Ward 29,2026-08-01,34.59,71.33,31.96,44.54,52.7,47.6,3.29,78.3,53782,Caution,Yellow,25600.0,1.13,0.14
18,Ward 18,2026-08-01,34.83,71.32,32.14,45.22,54.6,47.5,3.43,71.1,22267,Caution,Yellow,10577.0,1.14,0.06
54,Ward 54,2026-08-01,34.89,70.36,32.1,45.16,54.2,47.5,3.39,72.5,36235,Caution,Yellow,17212.0,1.14,0.1
48,Ward 48,2026-08-01,34.72,71.76,32.09,45.08,54.1,47.0,3.32,70.7,20437,Caution,Yellow,9605.0,1.14,0.05
42,Ward 42,2026-08-01,34.46,72.82,31.96,44.71,52.7,46.7,3.06,74.9,21746,Caution,Yellow,10155.0,1.13,0.06
43,Ward 43,2026-08-01,34.57,72.38,32.01,44.86,53.2,46.5,3.17,71.9,17677,Caution,Yellow,8220.0,1.13,0.05
28,Ward 28,2026-08-01,34.62,71.21,31.98,44.58,52.9,46.4,3.32,72.7,38110,Caution,Yellow,17683.0,1.13,0.1
77,Ward 77,2026-08-01,34.6,70.87,31.96,44.79,52.7,46.1,3.4,72.2,45984,Caution,Yellow,21199.0,1.13,0.12
19,Ward 19,2026-08-01,34.71,71.8,32.08,45.04,54.0,45.3,3.31,64.3,21158,Caution,Yellow,9585.0,1.14,0.06
