ward_id,ward_name,date,tmax_c,tmin_c,rh_mean_pct,wbgt_peak_c,wbgt_mean_c,hi_peak_c,solar_max_wm2,wind_mean_kmh,stress_band,stress_colour,work_rest,normal_tmax_c,departure_c,is_heatwave,is_severe,heatwave_label
1,Ward 1,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
2,Ward 2,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
3,Ward 3,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
4,Ward 4,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
5,Ward 5,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
6,Ward 6,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
7,Ward 7,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
8,Ward 8,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
9,Ward 9,2026-09-15,34.1,27.4,74.0,31.42,28.5,39.44,859.0,4.02,Critical,#ef4444,No work — suspend all physical activity,32.5,1.6,False,False,None
10,Ward 10,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
11,Ward 11,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
12,Ward 12,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
13,Ward 13,2026-09-15,34.1,27.5,73.62,31.58,28.53,39.81,864.0,4.33,Critical,#ef4444,No work — suspend all physical activity,32.6,1.5,False,False,None
