ward_id,ward_name,borough,lat,lon,population,area_km2,pop_density_km2,green_cover_pct,water_pct,green_km2,water_km2,building_count,building_density_km2,households,pop_male,pop_female,pop_under6,pop_sc,pop_st,pop_literate,pop_illiterate,workers_total,workers_main,workers_marginal,workers_other,non_workers,illiteracy_pct,hh_size,worker_pct,under6_pct,scst_pct,nonworker_pct
1,Ward 1,1,22.625565,88.375493,53125,1.3734,38681.0,0.01,2.03,0.0001,0.0279,1200,874.0,11394,27945,25180,4033,1968,117,42277,10848,20240,17775,2465,17137,32885,20.42,4.66,38.1,7.59,3.92,61.9
2,Ward 2,1,22.624727,88.385867,48190,1.7221,27983.0,0.1,1.64,0.0017,0.0282,2532,1470.0,11305,24381,23809,2575,1814,105,42986,5204,17851,15006,2845,14412,30339,10.8,4.26,37.04,5.34,3.98,62.96
3,Ward 3,1,22.610144,88.389393,53855,1.3474,39970.0,0.0,5.9,0.0,0.0795,1571,1166.0,11617,27636,26219,4358,1385,171,42933,10922,19987,16723,3264,16002,33868,20.28,4.64,37.11,8.09,2.89,62.89
4,Ward 4,1,22.614826,88.385018,34476,0.9494,36313.0,1.52,2.49,0.0144,0.0236,1474,1553.0,8558,17403,17073,2144,2713,79,28864,5612,13737,11800,1937,11383,20739,16.28,4.03,39.85,6.22,8.1,60.15
5,Ward 5,1,22.604251,88.379288,23707,1.3577,17461.0,2.98,2.47,0.0405,0.0336,812,598.0,5815,12243,11464,1585,745,60,19980,3727,8499,7551,948,7209,15208,15.72,4.08,35.85,6.69,3.4,64.15
6,Ward 6,1,22.616828,88.373931,42346,1.7437,24285.0,0.72,0.96,0.0125,0.0167,897,514.0,8855,22977,19369,3962,2798,295,31137,11209,15341,13239,2102,12736,27005,26.47,4.78,36.23,9.36,7.3,63.77
7,Ward 7,1,22.604932,88.369231,19180,0.4213,45526.0,3.32,2.07,0.014,0.0087,400,949.0,4240,9942,9238,961,335,10,15969,3211,8044,7193,851,6952,11136,16.74,4.52,41.94,5.01,1.8,58.06
8,Ward 8,1,22.600866,88.367122,18760,0.3609,51981.0,3.1,0.0,0.0112,0.0,467,1294.0,4285,9498,9262,1009,453,3,16609,2151,7145,6675,470,6519,11615,11.47,4.38,38.09,5.38,2.43,61.91
9,Ward 9,1,22.598699,88.35969,16420,0.2968,55323.0,2.56,0.0,0.0076,0.0,324,1092.0,3834,8573,7847,1033,256,1,14094,2326,6899,6346,553,6166,9521,14.17,4.28,42.02,6.29,1.57,57.98
10,Ward 10,2,22.598973,88.370056,27700,0.4386,63155.0,1.35,0.0,0.0059,0.0,492,1122.0,5139,14513,13187,1160,250,12,24518,3182,11784,10752,1032,10506,15916,11.49,5.39,42.54,4.19,0.95,57.46
11,Ward 11,2,22.596904,88.37345,22152,0.3265,67847.0,0.0,0.0,0.0,0.0,341,1044.0,4715,12086,10066,1187,1130,32,18440,3712,9282,8353,929,8082,12870,16.76,4.7,41.9,5.36,5.25,58.1
12,Ward 12,2,22.599657,88.376725,21493,0.5261,40853.0,14.05,4.87,0.0739,0.0256,399,758.0,4864,11884,9609,1455,539,26,17023,4470,9486,8495,991,8336,12007,20.8,4.42,44.14,6.77,2.63,55.86
13,Ward 13,3,22.596818,88.385323,33066,0.786,42069.0,1.79,6.25,0.0141,0.0491,557,709.0,7292,17633,15433,2589,645,34,25414,7652,14344,13150,1194,12677,18722,23.14,4.53,43.38,7.83,2.05,56.62
14,Ward 14,3,22.588179,88.384895,53343,1.0049,53083.0,3.78,3.72,0.038,0.0374,870,866.0,12387,27064,26279,4076,547,21,43290,10053,22096,19003,3093,17985,31247,18.85,4.31,41.42,7.64,1.06,58.58
15,Ward 15,2,22.588788,88.377509,23922,0.5326,44916.0,2.05,3.42,0.0109,0.0182,478,897.0,5397,12641,11281,1633,1384,27,19812,4110,9947,9210,737,8747,13975,17.18,4.43,41.58,6.83,5.9,58.42
16,Ward 16,2,22.589273,88.372035,20904,0.309,67650.0,1.36,0.0,0.0042,0.0,428,1385.0,4230,10767,10137,1164,165,21,17493,3411,8871,7957,914,7799,12033,16.32,4.94,42.44,5.57,0.89,57.56
17,Ward 17,2,22.592325,88.367233,21023,0.363,57915.0,1.38,0.0,0.005,0.0,257,708.0,4895,10824,10199,1160,446,11,18333,2690,8340,7685,655,7556,12683,12.8,4.29,39.67,5.52,2.17,60.33
18,Ward 18,2,22.593439,88.362737,22267,0.2372,93874.0,0.25,0.0,0.0006,0.0,490,2066.0,5525,10738,11529,1336,495,17,16477,5790,7746,7180,566,7025,14521,26.0,4.03,34.79,6.0,2.3,65.21
19,Ward 19,2,22.596831,88.357854,21158,0.243,87070.0,0.45,0.0,0.0011,0.0,348,1432.0,4593,11467,9691,1363,171,1,17675,3483,9126,8530,596,8349,12032,16.46,4.61,43.13,6.44,0.81,56.87
20,Ward 20,2,22.593929,88.35642,21576,0.2956,72991.0,0.0,0.0,0.0,0.0,187,633.0,4310,12180,9396,1629,981,2,17140,4436,9031,8512,519,8095,12545,20.56,5.01,41.86,7.55,4.56,58.14
21,Ward 21,4,22.590193,88.353323,21187,0.3409,62150.0,2.32,0.0,0.0079,0.0,458,1344.0,4304,13127,8060,1295,611,36,16016,5171,10355,9725,630,9569,10832,24.41,4.92,48.87,6.11,3.05,51.13
22,Ward 22,4,22.584906,88.351884,15730,0.3455,45528.0,6.74,0.0,0.0233,0.0,286,828.0,2884,9847,5883,734,284,1,12757,2973,7308,6972,336,6881,8422,18.9,5.45,46.46,4.67,1.81,53.54
23,Ward 23,4,22.584222,88.356355,18256,0.1644,111046.0,1.4,0.0,0.0023,0.0,226,1375.0,3338,10901,7355,1032,162,4,13459,4797,7319,6435,884,5935,10937,26.28,5.47,40.09,5.65,0.91,59.91
24,Ward 24,4,22.589232,88.357382,19824,0.2014,98431.0,0.0,0.0,0.0,0.0,399,1981.0,3842,12264,7560,1073,308,24,13719,6105,8972,7955,1017,7771,10852,30.8,5.16,45.26,5.41,1.67,54.74
25,Ward 25,4,22.585092,88.362738,27484,0.4067,67578.0,0.0,0.0,0.0,0.0,733,1802.0,5838,14992,12492,1556,356,13,22167,5317,11289,10688,601,10525,16195,19.35,4.71,41.07,5.66,1.34,58.93
26,Ward 26,4,22.588496,88.363878,25371,0.3527,71934.0,4.39,0.0,0.0155,0.0,661,1874.0,5659,13692,11679,1674,1428,6,19513,5858,10642,10036,606,9645,14729,23.09,4.48,41.95,6.6,5.65,58.05
27,Ward 27,4,22.585272,88.371133,19350,0.4249,45540.0,4.31,1.86,0.0183,0.0079,586,1379.0,4352,10271,9079,1045,553,27,16144,3206,7882,7232,650,6796,11468,16.57,4.45,40.73,5.4,3.0,59.27
28,Ward 28,4,22.580313,88.376427,38110,0.4254,89586.0,0.85,2.87,0.0036,0.0122,628,1476.0,7223,20788,17322,3169,1532,20,27738,10372,14740,12925,1815,12674,23370,27.22,5.28,38.68,8.32,4.07,61.32
29,Ward 29,3,22.576912,88.380059,53782,0.5636,95426.0,0.0,4.36,0.0,0.0246,363,644.0,9047,28942,24840,5550,2621,63,34094,19688,20558,18184,2374,15716,33224,36.61,5.94,38.22,10.32,4.99,61.78
30,Ward 30,3,22.576885,88.3855,30050,0.58,51810.0,1.4,0.95,0.0081,0.0055,689,1188.0,6747,15649,14401,2038,2834,4,24849,5201,11938,9842,2096,9330,18112,17.31,4.45,39.73,6.78,9.44,60.27
31,Ward 31,3,22.575555,88.396314,39025,1.385,28177.0,2.94,1.31,0.0407,0.0181,1372,991.0,8800,20995,18030,3186,2137,69,31638,7387,15498,14307,1191,14050,23527,18.93,4.43,39.71,8.16,5.65,60.29
32,Ward 32,3,22.587739,88.393796,45636,1.665,27409.0,8.0,6.41,0.1332,0.1068,1291,775.0,10708,22931,22705,3189,5612,154,32145,13491,18578,17105,1473,16680,27058,29.56,4.26,40.71,6.99,12.63,59.29
33,Ward 33,3,22.564964,88.400904,45919,1.8277,25124.0,19.75,2.0,0.3609,0.0365,1882,1030.0,11095,22818,23101,2873,3943,62,39247,6672,18932,16840,2092,16311,26987,14.53,4.14,41.23,6.26,8.72,58.77
34,Ward 34,3,22.564465,88.390332,29773,0.7887,37749.0,0.0,4.29,0.0,0.0338,1123,1424.0,7611,14797,14976,1702,1540,14,26079,3694,12371,10458,1913,10081,17402,12.41,3.91,41.55,5.72,5.22,58.45
