ward_id,ward_name,borough,lat,lon,population,area_km2,pop_density_km2,green_cover_pct,water_pct,green_km2,water_km2,building_count,building_density_km2
1,Ward 1,1,22.625565,88.375493,53125,1.3734,38681.0,0.01,2.03,0.0001,0.0279,1200,874.0
2,Ward 2,1,22.624727,88.385867,48190,1.7221,27983.0,0.1,1.64,0.0017,0.0282,2532,1470.0
3,Ward 3,1,22.610144,88.389393,53855,1.3474,39970.0,0.0,5.9,0.0,0.0795,1571,1166.0
4,Ward 4,1,22.614826,88.385018,34476,0.9494,36313.0,1.52,2.49,0.0144,0.0236,1474,1553.0
5,Ward 5,1,22.604251,88.379288,23707,1.3577,17461.0,2.98,2.47,0.0405,0.0336,812,598.0
6,Ward 6,1,22.616828,88.373931,42346,1.7437,24285.0,0.72,0.96,0.0125,0.0167,897,514.0
7,Ward 7,1,22.604932,88.369231,19180,0.4213,45526.0,3.32,2.07,0.014,0.0087,400,949.0
8,Ward 8,1,22.600866,88.367122,18760,0.3609,51981.0,3.1,0.0,0.0112,0.0,467,1294.0
9,Ward 9,1,22.598699,88.35969,16420,0.2968,55323.0,2.56,0.0,0.0076,0.0,324,1092.0
10,Ward 10,2,22.598973,88.370056,27700,0.4386,63155.0,1.35,0.0,0.0059,0.0,492,1122.0
11,Ward 11,2,22.596904,88.37345,22152,0.3265,67847.0,0.0,0.0,0.0,0.0,341,1044.0
12,Ward 12,2,22.599657,88.376725,21493,0.5261,40853.0,14.05,4.87,0.0739,0.0256,399,758.0
13,Ward 13,3,22.596818,88.385323,33066,0.786,42069.0,1.79,6.25,0.0141,0.0491,557,709.0
14,Ward 14,3,22.588179,88.384895,53343,1.0049,53083.0,3.78,3.72,0.038,0.0374,870,866.0
15,Ward 15,2,22.588788,88.377509,23922,0.5326,44916.0,2.05,3.42,0.0109,0.0182,478,897.0
16,Ward 16,2,22.589273,88.372035,20904,0.309,67650.0,1.36,0.0,0.0042,0.0,428,1385.0
17,Ward 17,2,22.592325,88.367233,21023,0.363,57915.0,1.38,0.0,0.005,0.0,257,708.0
18,Ward 18,2,22.593439,88.362737,22267,0.2372,93874.0,0.25,0.0,0.0006,0.0,490,2066.0
19,Ward 19,2,22.596831,88.357854,21158,0.243,87070.0,0.45,0.0,0.0011,0.0,348,1432.0
20,Ward 20,2,22.593929,88.35642,21576,0.2956,72991.0,0.0,0.0,0.0,0.0,187,633.0
21,Ward 21,4,22.590193,88.353323,21187,0.3409,62150.0,2.32,0.0,0.0079,0.0,458,1344.0
22,Ward 22,4,22.584906,88.351884,15730,0.3455,45528.0,6.74,0.0,0.0233,0.0,286,828.0
23,Ward 23,4,22.584222,88.356355,18256,0.1644,111046.0,1.4,0.0,0.0023,0.0,226,1375.0
24,Ward 24,4,22.589232,88.357382,19824,0.2014,98431.0,0.0,0.0,0.0,0.0,399,1981.0
25,Ward 25,4,22.585092,88.362738,27484,0.4067,67578.0,0.0,0.0,0.0,0.0,733,1802.0
26,Ward 26,4,22.588496,88.363878,25371,0.3527,71934.0,4.39,0.0,0.0155,0.0,661,1874.0
27,Ward 27,4,22.585272,88.371133,19350,0.4249,45540.0,4.31,1.86,0.0183,0.0079,586,1379.0
28,Ward 28,4,22.580313,88.376427,38110,0.4254,89586.0,0.85,2.87,0.0036,0.0122,628,1476.0
29,Ward 29,3,22.576912,88.380059,53782,0.5636,95426.0,0.0,4.36,0.0,0.0246,363,644.0
30,Ward 30,3,22.576885,88.3855,30050,0.58,51810.0,1.4,0.95,0.0081,0.0055,689,1188.0
31,Ward 31,3,22.575555,88.396314,39025,1.385,28177.0,2.94,1.31,0.0407,0.0181,1372,991.0
32,Ward 32,3,22.587739,88.393796,45636,1.665,27409.0,8.0,6.41,0.1332,0.1068,1291,775.0
33,Ward 33,3,22.564964,88.400904,45919,1.8277,25124.0,19.75,2.0,0.3609,0.0365,1882,1030.0
34,Ward 34,3,22.564465,88.390332,29773,0.7887,37749.0,0.0,4.29,0.0,0.0338,1123,1424.0
35,Ward 35,3,22.567795,88.383257,35024,0.8311,42142.0,0.0,3.95,0.0,0.0328,972,1170.0
36,Ward 36,5,22.569741,88.374344,27238,0.9894,27530.0,0.69,1.16,0.0068,0.0115,370,374.0
37,Ward 37,5,22.574398,88.370466,24020,0.3139,76521.0,2.2,0.0,0.0069,0.0,475,1513.0
38,Ward 38,4,22.580179,88.369821,28791,0.4918,58542.0,1.89,0.41,0.0093,0.002,665,1352.0
39,Ward 39,4,22.579681,88.363188,21296,0.2015,105687.0,8.78,0.0,0.0177,0.0,205,1017.0
40,Ward 40,5,22.575021,88.365648,20549,0.3678,55870.0,5.3,2.8,0.0195,0.0103,733,1993.0
41,Ward 41,5,22.581962,88.359612,19946,0.2098,95071.0,11.58,0.0,0.0243,0.0,182,867.0
42,Ward 42,5,22.57952,88.354408,21746,0.3217,67597.0,0.0,0.0,0.0,0.0,354,1100.0
43,Ward 43,5,22.576568,88.356467,17677,0.2364,74776.0,0.0,0.0,0.0,0.0,294,1244.0
44,Ward 44,5,22.574504,88.360136,29600,0.5221,56694.0,0.25,0.0,0.0013,0.0,436,835.0
45,Ward 45,5,22.572681,88.348747,8394,1.5407,5448.0,27.14,1.31,0.4181,0.0202,470,305.0
46,Ward 46,6,22.563918,88.351177,12823,1.308,9804.0,7.96,0.62,0.1041,0.0081,537,411.0
47,Ward 47,6,22.567675,88.358287,14684,0.4034,36401.0,0.0,0.0,0.0,0.0,550,1363.0
48,Ward 48,5,22.569231,88.363052,20437,0.2457,83179.0,0.0,0.0,0.0,0.0,477,1941.0
49,Ward 49,5,22.56972,88.368236,19416,0.2583,75168.0,0.7,0.0,0.0018,0.0,527,2040.0
50,Ward 50,5,22.564221,88.366027,17251,0.3836,44971.0,2.63,0.0,0.0101,0.0,399,1040.0
51,Ward 51,6,22.564335,88.361457,13556,0.2988,45368.0,7.7,0.0,0.023,0.0,452,1513.0
52,Ward 52,6,22.56012,88.35647,16869,0.2388,70641.0,0.0,0.0,0.0,0.0,206,863.0
53,Ward 53,6,22.558785,88.362036,25598,0.3449,74219.0,2.2,0.0,0.0076,0.0,379,1099.0
54,Ward 54,6,22.556044,88.367444,36235,0.3768,96165.0,0.0,0.0,0.0,0.0,474,1258.0
55,Ward 55,6,22.558479,88.371927,32254,0.9791,32942.0,2.74,1.14,0.0268,0.0112,836,854.0
56,Ward 56,7,22.556818,88.378832,43622,0.678,64339.0,0.0,1.52,0.0,0.0103,457,674.0
